City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,aleg,17.0481,-13.9209,22.73,12,87,5.8,MR,1702684268
329,plastun,44.7561,136.2939,-12.4,49,100,2.55,RU,1702684268
330,la'ie,21.6477,-157.9253,26.98,60,59,9.65,US,1702684268
331,springbok,-29.6643,17.8865,15.05,46,0,1.6,ZA,1702684268
332,hot springs village,34.6655,-93.01,12.62,72,100,0.82,US,1702684039
333,cuatro cienegas de carranza,26.9833,-102.0833,17.39,80,40,3.84,MX,1702684269
334,ola,59.5833,151.2833,-13.25,80,100,6.2,RU,1702684269
335,la passe,45.5549,-0.8967,6.1,80,46,0.84,FR,1702684269
336,la villa del rosario,10.3258,-72.3134,26.65,75,100,3.21,VE,1702684270
337,selfoss,63.9331,-20.9971,0.58,54,99,15.12,IS,1702684270
338,mount gambier,-37.8333,140.7667,17.84,53,93,5.84,AU,1702684270
339,yerofey pavlovich,53.9667,121.9667,-32.44,95,83,1.58,RU,1702684270
340,freetown,8.484,-13.2299,26.36,68,62,2.53,SL,1702684270
341,manicore,-5.8092,-61.3003,24.79,95,100,1.1,BR,1702684270
342,pokhara,28.2333,83.9833,10.71,46,12,1.9,NP,1702684123
343,timimoun,29.2639,0.231,9.21,46,0,4.12,DZ,1702684271
344,mandali,33.7499,45.5541,13.04,62,0,4.03,IQ,1702684271
345,ciudad guadalupe victoria,24.4497,-104.1225,15.85,41,0,5.45,MX,1702684271
346,kidodi,-7.6036,37.0044,22.2,93,11,1.18,TZ,1702684271
347,lycksele,64.5954,18.6735,-14.07,85,76,0.0,SE,1702684271
348,mahajanga,-15.7167,46.3167,26.01,94,20,0.0,MG,1702684272
349,santa lucia,27.9117,-15.5407,14.62,77,0,5.14,ES,1702684272
350,vanimo,-2.6741,141.3028,26.38,89,91,2.39,PG,1702684272
351,saint-pierre,-21.3393,55.4781,24.82,73,0,2.57,RE,1702684272
352,neyshabur,36.2133,58.7958,1.83,78,32,1.91,IR,1702684272
353,utena,55.5,25.6,-3.38,97,94,2.98,LT,1702684272
354,revda,56.801,59.9303,-19.37,87,70,1.67,RU,1702684273
355,mhamid,29.82,-5.72,10.82,33,5,3.87,MA,1702684273
356,colonia,50.9333,6.95,7.87,80,100,2.06,DE,1702684222
357,labrador city,52.9463,-66.9114,-6.05,68,100,7.72,CA,1702684273
358,tyazhinskiy,56.116,88.524,-16.93,77,100,6.06,RU,1702684273
359,beira,-19.8436,34.8389,26.05,84,95,2.38,MZ,1702684274
360,luderitz,-26.6481,15.1594,15.67,74,0,7.24,,1702684274
